file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,fr_1_1,0.019,1,1,0,1,3,3
p02.pddl,fr_1_2,0.02,1,1,0,1,4,4
p03.pddl,fr_1_3,0.021,1,1,0,1,5,5
p04.pddl,fr_1_4,0.02,1,1,0,1,6,6
p05.pddl,fr_1_5,0.02,1,1,0,1,7,7
p06.pddl,fr_1_6,0.02,1,1,0,1,8,8
p07.pddl,fr_1_7,0.019,1,1,0,1,9,9
p08.pddl,fr_1_8,0.02,1,1,0,1,10,10
p09.pddl,fr_1_9,0.021,1,1,0,1,11,11
p10.pddl,fr_1_10,0.02,1,1,0,1,12,12
p11.pddl,fr_2_1,0.078,9,1,0,0,0,0
p12.pddl,fr_2_2,0.042,4,2,0,1,5,5
p13.pddl,fr_2_3,0.02,1,1,0,1,13,13
p14.pddl,fr_2_4,0.02,1,1,0,1,8,8
p15.pddl,fr_2_5,0.079,9,1,0,0,0,0
p16.pddl,fr_2_6,0.079,9,1,0,0,0,0
p17.pddl,fr_2_7,0.022,1,1,0,1,18,18
p18.pddl,fr_2_8,0.021,1,1,0,1,12,12
p19.pddl,fr_2_9,0.079,9,1,0,0,0,0
p20.pddl,fr_2_10,0.082,9,1,0,0,0,0
p31.pddl,fr_3_1,0.021,1,1,0,1,8,8
p32.pddl,fr_3_2,0.02,1,1,0,1,10,10
p33.pddl,fr_3_3,0.077,9,1,0,0,0,0
p34.pddl,fr_3_4,0.077,9,1,0,0,0,0
p35.pddl,fr_3_5,0.08,9,1,0,0,0,0
p36.pddl,fr_3_6,0.079,9,1,0,0,0,0
p37.pddl,fr_3_7,0.022,1,1,0,1,24,24
p38.pddl,fr_3_8,0.022,1,1,0,1,22,22
p39.pddl,fr_3_9,0.079,9,1,0,0,0,0
p40.pddl,fr_3_10,0.079,9,1,0,0,0,0
p41.pddl,fr_4_1,0.02,1,1,0,1,7,7
p42.pddl,fr_4_2,0.021,1,1,0,1,11,11
p43.pddl,fr_4_3,1082.556,69207,64119,944,1,106,106
p44.pddl,fr_4_4,0.043,3,3,0,1,23,23
p45.pddl,fr_4_5,0.078,9,1,0,0,0,0
p46.pddl,fr_4_6,0.037,3,3,0,1,19,19
p47.pddl,fr_4_7,0.032,2,2,0,1,23,23
p48.pddl,fr_4_8,0.024,1,1,0,1,27,27
p49.pddl,fr_4_9,0.033,2,2,0,1,27,27
p50.pddl,fr_4_10,0.079,9,1,0,0,0,0
